ARTICOLO, LIST PRICE  
AN S1B001A-PN20,194.54
AN S1B001A-PN3,143.42
AN S1B001A-PN3-X,155.47
AN S1B001A-PN5,149.6
AN S1B001A-PN5-X,161.65
AN S1B002A-PM0.2,152.21
AN S1B002A-PM3,156.5
AN S1B002A-PN3,143.42
AN S1B003A-PM0.2,152.21
AN S1B003A-PM0.5,152.21
AN S1B003A-PM3,156.5
AN S1B003A-PN10,164.84
AN S1B003A-PN3,143.42
AN S1B003A-PN5,149.6
AN S1B004A-PM0.2,152.21
AN S1B004A-PM0.5,152.21
AN S1B004A-PN10,164.84
AN S1B004A-PN3,143.42
AN S1B004A-PN5,149.6
AN S1B005A-PM0.2,152.21
AN S1B005A-PM0.5,152.21
AN S1B005A-PN10,164.84
AN S1B005A-PN12,170.78
AN S1B005A-PN3,143.42
AN S1B005A-PN5,149.6
AN S1B008A-PH10,206.49
AN S1B008A-PM0.2,152.21
AN S1B008A-PM0.5,152.21
AN S1B008A-PM3,156.5
AN S1B008A-PN10,164.84
AN S1B008A-PN3,143.42
AN S1B008A-PN5,149.6
AN S1B060A-PN3,152.03
AN S1B071A-PM0.2,153.06
AN S1B072A-PM0.2,153.06
AN S1B073A-PM0.2,153.06
AN S1B074A-PM0.2,153.06
AN S9A000A,61.42
AN S9A000A-X,73.47
AN S9A001A-PH10,169.24
AN S9A001A-PH3,120.35
AN S9A001A-PM0.2,111.54
AN S9A001A-PM0.5,111.54
AN S9A001A-PM3,112.59
AN S9A001A-PN10,119.36
AN S9A001A-PN2,101.87
AN S9A001A-PN3,103.87
AN S9A001A-PN3-X,115.92
AN S9A001A-PN5,108.34
AN S9A002A-PM0.2,111.54
AN S9A003A-PM0.2,111.54
AN S9A003A-PM0.5,111.54
AN S9A003A-PN10,119.36
AN S9A003A-PN3,103.87
AN S9A004A-PM0.2,111.54
AN S9A004A-PM0.5,111.54
AN S9A004A-PM3,112.59
AN S9A005A-PM0.2,111.54
AN S9A005A-PN10,119.36
AN S9A005A-PN3,103.87
AN S9A008A-PM0.2,111.54
AN S9A008A-PN10,119.36
AN S9A008A-PN3,103.87
AN S9A038A-PH3,127.24
AN T1B000A0-PM3,103.02
AN T1B000A1-PM3,103.02
AN T1B000A1-PN3,94.3
AN T1B000AZ-PM3,97.45
AN T1B000AZ-PN10,104.22
AN T1B000AZ-PN3,88.73
AN T1B000AZ-PN5,93.2
AN T1B001A0-PN3,118.65
AN T1B001A1-PN3,118.65
AN T1B001AZ-PH10,176.15
AN T1B001AZ-PH3,127.26
AN T1B001AZ-PN10,134.5
AN T1B001AZ-PN3,113.08
AN T1B002A1-PN3,118.65
AN T1B002AZ-PM3,128.29
AN T1B002AZ-PN3,113.08
AN T1B003A1-PH5,146.7
AN T1B003A1-PM5,140.14
AN T1B003A1-PN3,118.65
AN T1B003AZ-PN10,134.5
AN T1B003AZ-PN3,113.08
AN T1B004A1-PM5,137.91
AN T1B004A1-PN3,118.65
AN T1B005A0-PN3,116.42
AN T1B005A1-PN3,118.65
AN T1B005AZ-PH10,176.15
AN T1B008A1-PN3,118.65
AN T1B008AZ-PN3,113.08
AN T1B100A0-PN10,101.99
AN T1B100A1-PN3,86.5
AN T1B100AZ-PN3,80.93
AN T1B101A1-PN10,132.27
AN T1B101A1-PN3,110.85
AN T1B101AZ-PN3,105.28
AN T1B102A1-PN3,110.85
AN T1B103A1-PN3,110.85
AN T1B104A1-PN3,110.85
AN T1B105A0-PN3,110.85
AN T1B105A1-PN3,110.85
AN T1B108A1-PN10,132.27
AN T1B108A1-PN3,110.85
AN T1B108AZ-PN3,105.28
AN T9A000A0,36.17
AN T9A000A1,36.17
AN T9A000AZ,30.6
AN T9A001A1-PN3,84.18
AN T9A001AZ-PM3,87.33
AN T9A001AZ-PN3,78.61
AN T9A002A1-PN3,84.18
AN T9A002AZ-PN3,78.61
AN T9A003A1-PN3,84.18
AN T9A003AZ-PN3,78.61
AN T9A004A1-PN3,84.18
AN T9A005A1-PN3,84.18
AN T9A008A1-PN3,84.18
AN T9A008AZ-PH3,95.09
AN T9A008AZ-PN3,78.61
AN T9A028AZ-PN10,109.21
AN T9A038AZ-PN10,109.21
AN T9A100A0,28.37
AN T9A100A1,28.37
AN T9A100AZ,22.8
AN T9A101A1-PN3,76.38
AN T9A101AZ-PN3,70.81
AN T9A102A1-PN3,76.38
AN T9A103A1-PN3,76.38
AN T9A104A1-PN3,76.38
AN T9A105A1-PN3,76.38
AN T9A108A1-PN3,76.38
AN T9A108AZ-PN3,70.81
AN Y01EA1P,68.4
AN Y01EA9P,64.28
AN Y01TA1P,70.05
AN Y01TA9P,65.93
AN Y01TA9Z,59.75
AN Y01ZZ1P,55.11
AN Y01ZZ9P,50.99
AN Y01ZZ9Z,44.81
AN Y09EA1P,68.4
AN Y09EA9P,64.28
AN Y09TA1P,70.05
AN Y09TA9P,65.93
AN Y09ZZ1P,55.11
AN Y09ZZ9P,50.99
AN Y11EA1P,103.42
AN Y11EA9P,99.3
AN Y11TA1P,105.07
AN Y11TA9P,100.95
AN Y11TA9Z,94.77
AN Y11ZZ1P,90.13
AN Y11ZZ9P,86.01
AN Y19EA1P,103.42
AN Y19EA9P,99.3
AN Y19TA1P,105.07
AN Y19TA1Z,98.89
AN Y19TA9P,100.95
AN Y19ZZ1P,90.13
AN Y19ZZ9P,86.01
AP A001,13.64
AP G0A-000Z,27.75
AP G0A-011M,94.5
AP G0A-011P,81.39
AP G0A-111M,113.31
AP G0A-111P,100.2
AP G0A-111Z,91.02
AP G0A-200Z,58.71
AP G0B-000Z,25.89
AP G0B-011M,91.23
AP G0B-011P,78.12
AP G0B-111M,110.04
AP G0B-111P,96.93
AP G0B-200M,77.73
AP G0B-200P,64.62
AP G0C-800M,158.83
AP G0C-800P,145.85
AP G0C-803Z,155.92
AP G0D-000Z,34.84
AP G0Z-000P,10.59
AP G0Z-001Z,27.38
AP G0Z-010P,26.02
AP G0Z-011M,66.75
AP G0Z-011P,53.64
AP G0Z-100Z,18.6
AP G0Z-111M,85.56
AP G0Z-111P,72.45
AP G0Z-111Z,63.27
AP G0Z-200M,53.25
AP G0Z-200P,40.14
AP G0Z-803Z,80.99
AP G1A-000P,77.53
AP G1A-000Z,68.35
AP G1A-001P,103.5
AP G1A-011M,133.69
AP G1A-011P,120.58
AP G1A-011Z,111.4
AP G1A-111M,152.5
AP G1A-111P,139.39
AP G1A-111Z,130.21
AP G1A-200P,107.08
AP G1B-011M,130.42
AP G1B-011P,117.31
AP G1B-111M,149.23
AP G1B-111P,136.12
AP G1C-800M,209.07
AP G1C-800P,196.09
AP G1D-000Z,74.03
AP G1Z-000Z,40.6
AP G1Z-011M,105.94
AP G1Z-011P,92.83
AP G1Z-111M,124.75
AP G1Z-111P,111.64
AP G1Z-200M,92.44
AP G1Z-200P,79.33
AP G1Z-200Z,70.15
AP G1Z-801Z,114.24
AP G1Z-802Z,139.17
AP G2C-800M,299.07
AP G2C-800P,286.09
BC 1Z4A1A1AF10,180
BC 1Z4A1A1AF2,140
BC 1Z4A1A1AF5,155
BC 1Z4A1A1FSK,150
BC 1Z4A2A1AF10,180
BC 1Z4A2A1AF2,140
BC 1Z4A2A1AF5,155
BC 1Z4A2A1FSK,150
BC 2Z8A1A1AL10,242.8
BC 2Z8A1A1AL2,190
BC 2Z8A1A1AL5,209.8
BC 2Z8A1A1FTK,190
BC 2Z8A3A1AL10,242.8
BC 2Z8A3A1AL2,190
BC 2Z8A3A1AL5,209.8
BC 2Z8A3A1FTK,190
BN AC1ZA01,85.69
BN AC1ZA02,67.2
BN AC1ZA03,78.38
BN AC1ZA05,96.9
BN AC1ZA12,87.95
BN AC1ZA17,85.69
BN AC1ZA19,87.95
BN AC1ZA20,112.35
BN AC1ZA21,67.2
BN AC1ZA22,68.02
BN AC1ZA24,67.2
BN AC1ZA26,68.02
BN AC2ZA01,106.68
BN AC2ZA02,106.68
BN AC2ZA03,88.19
BN AC2ZA26,108.94
BN AC2ZA38,109.76
BN AC2ZA39,114.41
BN AC2ZA40,107.5
BN AC2ZA41,107.5
BN AC2ZA42,107.5
BN AC2ZA44,88.19
BN AC2ZA47,116.02
BN AC2ZA48,133.29
BN AC2ZA50,107.5
BN AC2ZA51,89.83
BN AC2ZA52,130.21
BN AC2ZA53,106.68
BN AC2ZA55,133.29
BN AC3EA01,169.03
BN AC3EA02,197.37
BN AC3ZA01,134.8
BN AC3ZA02,153.29
BN AC3ZA03,153.29
BN AC3ZA07,122.96
BN AC3ZA09,153.29
BN AC3ZA11,153.29
BN AC3ZA12,153.29
BN AC3ZA17,174.64
BN AC3ZA18,145.89
BN AC3ZA19,153.29
BN AC3ZA22,134.8
BN AC3ZA25,153.29
BN AC3ZA26,153.29
BN AC3ZA27,122.96
BN AC3ZA28,153.29
BN AC3ZA30,152.63
BN AC3ZA31,141.45
BN AC3ZA32,164.47
BN AC3ZA33,153.29
BN AC3ZA34,134.8
BN AC3ZA36,174.64
BN AC3ZA37,134.8
BN AC3ZA38,153.29
BN AC3ZA41,141.45
BN AC3ZA43,186.42
BN AC3ZA48,166.75
BN AC3ZA49,149.87
BN AC3ZA50,122.96
BN AC3ZA52,153.66
BN AC3ZA53,179.03
BN AC3ZA54,174.64
BN AC3ZA55,147.82
BN AC3ZA58,122.96
BN AC3ZA60,119.54
BN AC3ZA61,153.29
BN AC3ZA62,151.11
BN AC3ZA65,165.75
BN AC3ZA66,169.44
BN AC3ZA67,123.73
BN AC3ZA68,153.29
BN AC3ZA69,147.69
BN AC3ZA70,149.87
BN AC3ZA71,153.56
BN AC3ZA72,157.33
BN AC3ZA73,153.29
BN AC3ZA74,153.29
BN AC3ZA75,174.64
BN AC3ZA76,153.44
BN AC3ZA77,135.76
BN AC3ZA78,164.47
BN AC3ZA79,153.98
BN AC3ZA80,180.82
BN AC3ZA81,122.96
BN AC3ZA84,153.29
BN AC3ZA86,129.2
BN AC3ZA87,147.69
BN AC3ZA88,153.29
BN AC3ZA89,134.8
BN AC3ZA92,153.29
BN AC3ZA93,147.82
BN AC3ZA94,147.82
BN AC3ZA95,158.84
BN AC3ZA97,134.8
BN AC3ZA98,149.87
BN AC3ZA99,142.22
BN AC3ZB01,170.02
BN AC3ZB02,174.64
BN AC3ZB03,153.29
BN AC3ZB04,119.54
BN AC3ZB05,169.44
BN AC3ZB06,193.83
BN AC3ZB07,166.75
BN AC3ZB08,122.96
BN AC3ZB09,124.6
BN AC3ZB10,124.6
BN AC3ZB12,160.59
BN AC3ZB13,129.2
BN AC3ZB14,142.91
BN AC3ZB15,131.15
BN AC3ZB16,174.64
BN AC3ZB17,171.22
BN AC3ZB18,157.28
BN AC3ZB59,156.37
BN AC3ZB73,151.79
BN AC3ZB77,154.93
BN AC3ZB78,176.28
BN AC3ZB79,169.17
BN AC3ZB80,160.16
BN AC3ZB81,134.8
BN AC3ZB82,132.62
BN AC3ZB88,154.93
BN AC3ZB89,154.93
BN AC3ZB91,132.85
BN AC3ZB93,153.03
BN AC3ZB95,158.99
BN AC3ZB96,101.59
BN AC3ZB97,225.69
BN AC3ZB98,186.42
BN AC3ZB99,147.62
BN AC3ZC01,153.29
BN AC3ZC02,132.62
BN AC3ZC04,154.93
BN AC3ZC07,157.19
BN AC3ZC08,155.01
BN AC3ZC09,177.72
BN AC4ZA01,185.93
BN AC4ZA02,171.29
BN AC4ZA03,175.87
BN AC4ZA04,171.29
BN AC4ZA05,171.29
BN AC4ZA15,171.29
BN AC4ZA21,171.29
BN AC4ZA23,171.29
BN AC4ZA27,213.47
BN AC4ZA28,165.82
BN AC4ZA34,171.29
BN AC4ZA35,158.33
BN AC4ZA36,171.29
BN AC4ZA39,171.29
BN AC4ZA42,152.8
BN AC4ZA43,169.53
BN AC4ZA44,160.22
BN AC4ZA45,171.98
BN AC4ZA47,169.53
BN AC4ZA48,171.29
BN AC4ZA49,149.38
BN AC4ZA50,152.8
BN AC4ZA52,152.8
BN AC4ZA53,153.07
BN AC4ZA54,171.29
BN AC4ZA55,241.42
BN AC4ZA56,153.72
BN AC4ZA57,193.6
BN AC4ZA58,193.62
BN AC4ZA60,171.98
BN AC4ZA61,209.97
BN AC4ZA62,186.2
BN AC4ZA63,171.56
BN AC4ZA64,171.29
BN AC4ZA65,176.66
BN AC4ZA66,164.72
BN AC4ZA67,153.76
BN AC4ZA68,171.29
BN AC4ZA69,171.29
BN AC4ZA70,182.47
BN AC4ZA71,193.35
BN AC4ZA73,164.25
BN AC4ZA74,203.9
BN AC4ZA75,163.98
BN AC4ZA76,171.56
BN AC4ZA78,221.48
BN AC4ZA79,171.29
BN AC4ZA80,198.62
BN AC4ZA82,152.8
BN AC4ZA84,218.33
BN AC4ZB19,173.55
BN AC4ZB45,171.29
BN AC4ZB46,182.6
BN AC4ZB48,197.45
BN AC4ZB49,195.37
BN AC4ZB50,187.17
BN AC4ZB51,204.42
BN AC4ZB52,173.75
BN AC4ZB57,221.06
BN AC4ZB58,171.29
BN AC4ZB60,173.55
BN AC4ZB61,211.67
BN AC4ZB62,210.66
BN AC4ZB64,160.91
BN AC4ZB65,187.17
BN AC4ZB66,185.42
BN AC4ZB68,156.08
BN AC4ZB71,204.89
BN AC4ZB72,221.06
BN AC4ZB73,220.59
BN AC4ZB75,176.01
BN AC4ZB79,223.05
BN AC4ZB80,204.09
BN AC6EA01,296.62
BN AC6EA02,316.31
BN AC6ZA01,198.73
BN AC6ZA09,279.66
BN AC6ZA10,244.15
BN AC6ZA12,244.15
BN AC6ZA13,255.99
BN AC6ZA14,268.48
BN AC6ZA18,268.48
BN AC6ZA19,255.99
BN AC6ZA20,245.54
BN AC6ZA22,252.57
BN AC6ZA23,296.53
BN AC6ZA24,253.94
BN AC6ZA25,262.36
BN AC6ZA26,257.6
BN AC6ZA27,255.99
BN AC6ZA28,266.98
BN AC6ZA40,236.11
BN AC6ZA50,296.8
BN AC6ZA53,256.64
BN AC6ZA54,215.36
BN AC6ZA55,272.77
BN AC6ZA57,255.63
BN AC6ZA59,270.45
BN AC6ZA61,285.7
BN AC6ZA64,288.79
BN AC6ZA65,300.3
BN AC6ZA66,290.98
BN AC7ZA01,308.37
BN AC7ZA04,286.31
BN AC7ZA07,310.63
BN AC7ZA09,312.25
BN AC7ZA12,242.03
BN AC8ZA01,283.3
BN AC8ZA03,275.77
BN AC8ZA05,275.77
BN AC8ZA06,316.62
BN AC8ZA07,321.41
BN AC8ZA08,283.46
BN AC8ZA09,294.26
BN AC8ZA11,305.44
BN AC8ZA12,294.26
BN AC8ZA13,301.13
BN AC8ZA15,326.13
BN AC8ZA17,365.21
BN AC8ZA18,322.44
CS AM-01ME01,298.75
CS AM-01VE01,285.11
CS AM-01XE01,298.75
CS AR-01M024,124.13
CS AR-01M120,138.25
CS AR-01M230,138.25
CS AR-01ME02,138.17
CS AR-01V024,116.44
CS AR-01V120,130.56
CS AR-01V230,130.56
CS AR-01VE02,130.48
CS AR-01X024,124.13
CS AR-01X120,138.25
CS AR-01X230,138.25
CS AR-01XE02,138.17
CS AR-02M024,124.13
CS AR-02M120,138.25
CS AR-02M230,138.25
CS AR-02ME02,138.17
CS AR-02V024,116.44
CS AR-02V120,130.56
CS AR-02V230,130.56
CS AR-02VE02,130.48
CS AR-02X024,124.13
CS AR-02X120,138.25
CS AR-02X230,138.25
CS AR-02XE02,138.17
CS AR-04M024,128.57
CS AR-04M120,142.69
CS AR-04M230,142.69
CS AR-04V024,120.88
CS AR-04V120,135
CS AR-04V230,135
CS AR-04X024,128.57
CS AR-04X120,142.69
CS AR-04X230,142.69
CS AR-05M024,128.58
CS AR-05M120,142.7
CS AR-05M230,142.7
CS AR-05V024,120.89
CS AR-05V120,135.01
CS AR-05V230,135.01
CS AR-05X024,128.58
CS AR-05X120,142.7
CS AR-05X230,142.7
CS AR-06M024,128.58
CS AR-06M120,142.7
CS AR-06M230,142.7
CS AR-06V024,120.89
CS AR-06V120,135.01
CS AR-06V230,135.01
CS AR-06X024,128.58
CS AR-06X120,142.7
CS AR-06X230,142.7
CS AR-07M024,137.14
CS AR-07X024,137.14
CS AR-08M024,107.31
CS AR-08M120,121.43
CS AR-08M230,121.43
CS AR-08MU12,109.81
CS AR-08V024,99.62
CS AR-08V120,113.74
CS AR-08V230,113.74
CS AR-08VU12,102.12
CS AR-08X024,107.31
CS AR-08X120,121.43
CS AR-08X230,121.43
CS AR-08XU12,109.81
CS AR-20M024,92.02
CS AR-20M120,106.14
CS AR-20M230,106.14
CS AR-20V024,88.18
CS AR-20V120,102.3
CS AR-20V230,102.3
CS AR-20X024,92.02
CS AR-20X120,106.14
CS AR-20X230,106.14
CS AR-21V024,88.18
CS AR-21V120,102.3
CS AR-21V230,102.3
CS AR-22M024,112.25
CS AR-22M230,126.37
CS AR-22V024,106.48
CS AR-22V120,120.6
CS AR-22V230,120.6
CS AR-22X024,112.25
CS AR-22X120,126.37
CS AR-22X230,126.37
CS AR-23M024,112.25
CS AR-23M120,126.37
CS AR-23M230,126.37
CS AR-23V024,106.48
CS AR-23V120,120.6
CS AR-23V230,120.6
CS AR-23X024,112.25
CS AR-23X120,126.37
CS AR-23X230,126.37
CS AR-24M024,114.88
CS AR-24V024,107.19
CS AR-24X024,114.88
CS AR-25M024,114.88
CS AR-25V024,107.19
CS AR-40M024,93.41
CS AR-40V024,85.72
CS AR-40X024,89.56
CS AR-41M024,89.56
CS AR-41V024,85.72
CS AR-41X024,89.56
CS AR-46M024,51.41
CS AR-46V024,45.64
CS AR-46X024,51.41
CS AR-51M024,109.63
CS AR-51V024,101.94
CS AR-51X024,109.63
CS AT-00M024-TF2,231.58
CS AT-00M024-TF5,231.58
CS AT-00M230-TF1,242.4
CS AT-00V024-TF1,219.89
CS AT-00V024-TF3,219.89
CS AT-00V120-TF1,230.71
CS AT-00V120-TF3,230.71
CS AT-00V230-TF3,230.71
CS AT-01M024,231.58
CS AT-01M120,242.4
CS AT-01M230,242.4
CS AT-01V024,219.89
CS AT-01V120,230.71
CS AT-01V230,230.71
CS AT-01X024,231.58
CS AT-02M024,231.58
CS AT-02M120,242.4
CS AT-02M230,242.4
CS AT-02V024,219.89
CS AT-02V120,230.71
CS AT-02V230,230.71
CS AT-02X024,231.58
CS AT-02X120,242.4
CS AT-02X230,242.4
CS AT-03M024,231.58
CS AT-03M230,242.4
CS AT-03V024,219.89
CS AT-03V120,230.71
CS AT-03V230,230.71
CS AT-03X024,231.58
CS AT-04M024,231.58
CS AT-04V024,219.89
CS AT-04V120,230.71
CS AT-04V230,230.71
CS AT-10V024-TF1,219.89
CS AT-10V024-TF3,219.89
CS AT-10V120-TF3,230.71
CS AT-11M024,231.58
CS AT-11M230,242.4
CS AT-11V024,219.89
CS AT-11V120,230.71
CS AT-11V230,230.71
CS AT-11X024,231.58
CS AT-12M024,231.58
CS AT-12M120,242.4
CS AT-12M230,242.4
CS AT-12V024,219.89
CS AT-12V120,230.71
CS AT-12V230,230.71
CS AT-12X024,231.58
CS AT-12X120,242.4
CS AT-12X230,242.4
CS AT-13M024,231.58
CS AT-13V024,219.89
CS AT-13V120,230.71
CS AT-13V230,230.71
CS AT-13X024,231.58
CS AT-14M024,231.58
CS AT-14V024,219.89
CS AT-14V120,230.71
CS AT-14V230,230.71
CS AT-30M024-TF3,173.88
CS AT-30V024-TF1,166.19
CS AT-30V024-TF3,166.19
CS AT-30V024-TF5,166.19
CS AT-31M024,173.88
CS AT-31V024,166.19
CS AT-31X024,173.88
CS AT-32M024,173.88
CS AT-32V024,166.19
CS AT-32X024,173.88
CS AT-33M024,173.88
CS AT-33V024,166.19
CS AT-33X024,173.88
CS AT-34V024,166.19
CS DM-01M024,177.93
CS DM-01M120,192.05
CS DM-01M230,192.05
CS DM-01V024,170.24
CS DM-01V120,184.36
CS DM-01V230,184.36
CS DM-01X024,177.93
CS DM-01X120,192.05
CS DM-01X230,192.05
CS DM-02M024,154.75
CS DM-02M120,168.87
CS DM-02V024,148.98
CS DM-02V120,163.1
CS DM-02V230,163.1
CS DM-02X024,154.75
CS DM-02X120,168.87
CS DM-20M024,65.79
CS DM-20M120,79.91
CS DM-20V024,60.02
CS DM-20V120,74.14
CS DM-20V230,74.14
CS DM-20X024,65.79
CS DM-20X230,79.91
CS FS-10V024-TF1,113.31
CS FS-10V024-TF3,113.31
CS FS-10V024-TF8,113.31
CS FS-10V120-TF1,124.13
CS FS-10V120-TF4,124.13
CS FS-11M024,119.08
CS FS-11V024,113.31
CS FS-11V120,124.13
CS FS-11V230,124.13
CS FS-12M024,119.08
CS FS-12V024,113.31
CS FS-12V120,124.13
CS FS-12V230,124.13
CS FS-12X024,119.08
CS FS-13M024,119.08
CS FS-13V024,113.31
CS FS-13V120,124.13
CS FS-13V230,124.13
CS FS-13X024,119.08
CS FS-13X120,129.9
CS FS-13X230,129.9
CS FS-14M024,119.08
CS FS-14V024,113.31
CS FS-14V120,124.13
CS FS-14V230,124.13
CS FS-14X024,119.08
CS FS-14X120,129.9
CS FS-14X230,129.9
CS FS-15V230,124.13
CS FS-20V120-TF1,100.19
CS FS-20V120-TF2,100.19
CS FS-20VU24-TF3,89.37
CS FS-20VU24-TF6,89.37
CS FS-21V120,100.19
CS FS-21VU24,89.37
CS FS-22V120,100.19
CS FS-22VU24,89.37
CS FS-23V120,100.19
CS FS-23VU24,89.37
CS FS-24MU24,95.14
CS FS-24V120,100.19
CS FS-24VU24,89.37
CS FS-30V024-TS1,89.36
CS FS-30VU24-TF1,89.36
CS FS-30VU24-TF3,89.36
CS FS-30VU24-TF4,89.36
CS FS-31MU24,95.14
CS FS-31V120,100.19
CS FS-31VU24,89.37
CS FS-31XU24,95.14
CS FS-32MU24,95.14
CS FS-32VU24,89.37
CS FS-32XU24,95.14
CS FS-33MU24,95.14
CS FS-33V120,100.19
CS FS-33VU24,89.37
CS FS-34MU24,95.14
CS FS-34V120,100.19
CS FS-34VU24,89.37
CS FS-50V024-TS1,96.71
CS FS-50V120-TF2,107.53
CS FS-50V120-TF3,107.53
CS FS-51MU24,104.4
CS FS-51V120,107.53
CS FS-51VU24,96.71
CS FS-52V120,107.53
CS FS-52VU24,96.71
CS FS-53MU24,104.4
CS FS-53V120,107.53
CS FS-53VU24,96.71
CS FS-54MU24,104.4
CS FS-54V120,107.53
CS FS-54VU24,96.71
CS FS-54X120,115.22
CS FS-54XU24,104.4
CS ME-01M024,125.88
CS ME-01V024,118.19
CS ME-01X024,125.88
CS ME-02MU24,124.7
CS ME-02VU24,117.01
CS ME-02XU24,124.7
CS ME-03MU24,80.29
CS ME-03VU24,74.52
CS ME-03XU24,80.29
CS ME-20MU24-TF1,134.46
CS ME-20MU24-TF2,134.46
CS ME-20MU24-TF3,134.46
CS ME-20VU24-TF1,126.77
CS ME-20VU24-TF2,126.77
CS ME-20VU24-TF3,126.77
CS ME-20XU24-TF1,134.46
CS ME-20XU24-TF2,134.46
CS ME-20XU24-TF3,134.46
CS MF201M0-P1,444.6
CS MF202M0-P2,425.96
CS MF202M0-P3,425.96
CS MF202M0-P4,425.96
CS MF202M0-P5,425.96
CS MF202M0-P6,425.96
CS MF202M0-P7,425.96
CS MF202M0-P8,425.96
CS MF204M0-P10,445.19
CS MP201M0,474.06
CS MP201X0,474.06
CS MP202M0,455.42
CS MP202X0,455.42
CS MP203M0,504.17
CS MP203X0,504.17
CS MP204M0,474.65
CS MP204X0,474.65
CS MP205M0,486.24
CS MP205X0,486.24
CS MP206M0,466.4
CS MP206X0,466.4
CS MP207M0,518.58
CS MP208M0,478.43
CS MP208X0,478.43
CS MP301M0,566.85
CS MP301X0,566.85
CS MP302M0,554.11
CS MP302X0,554.11
CS MP303M0,548.21
CS MP303X0,548.21
CS MP304M0,596.96
CS MP304X0,596.96
CS MP305M0,565.68
CS MP305X0,565.68
CS MP306M0,607.94
CS MP306X0,607.94
CS MP307M0,640.75
CS MP307X0,640.75
CS MP308M0,580.78
CS MP308X0,580.78
CS MP309M0,569.8
CS MP309X0,569.8
CS MP310M0,609.37
CS MP310X0,609.37
CS MP311M0,615.15
CS MP311X0,615.15
CS MP312M0,604.51
CS MP401M0,635.32
CS MP401X0,635.32
CS MP402M0,665.77
CS MP402X0,665.77
CS MP403M0,659.87
CS MP403X0,659.87
CS MP406M0,646.3
CS MP406X0,646.3
DS AA1VA,5.68
DS AE1VA,5.71
DS CH1VA0,8.07
DS CN1VA0,8.18
DS KA1A,1.63
DS KA2A,1.64
DS KA3A,1.69
DS KB1A,1.85
DS KB2A,1.93
DS KB3A,1.92
E2 1BAC11,0.75
